data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtecodi,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id
2020-11-02T00:00:00.000,10.0,BAIX EMPORDA,17117.0,PALAFRUGELL,,No classificat,1.0,Dona,PCR probable,1,row-jc2v~g3i2-5f5m
2020-07-10T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,3.0,SANTS-MONTJUÏC,1.0,Dona,Positiu per Test Ràpid,38,row-drfj_zb53~8g47
2020-07-10T00:00:00.000,11.0,BAIX LLOBREGAT,8073.0,CORNELLÀ DE LLOBREGAT,,No classificat,1.0,Dona,Positiu per Test Ràpid,6,row-ysts_48zi-bdgu
2020-07-10T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,6.0,GRÀCIA,0.0,Home,Positiu per Test Ràpid,3,row-pdnn.thpp~vqie
2020-07-10T00:00:00.000,11.0,BAIX LLOBREGAT,8169.0,EL PRAT DE LLOBREGAT,,No classificat,1.0,Dona,Positiu per Test Ràpid,1,row-ttgz-tpu4.nycc
2020-07-09T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,1.0,CIUTAT VELLA,1.0,Dona,Positiu per Test Ràpid,2,row-73hf_qkv5.knf6
2020-08-12T00:00:00.000,11.0,BAIX LLOBREGAT,8056.0,CASTELLDEFELS,,No classificat,1.0,Dona,Positiu per ELISA,1,row-hmyu.thaw-vsfc
2020-04-27T00:00:00.000,2.0,ALT EMPORDA,17066.0,FIGUERES,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-is8k.eypt_ntwv
2020-11-05T00:00:00.000,41.0,VALLES ORIENTAL,8202.0,SANT CELONI,,No classificat,1.0,Dona,PCR probable,1,row-w9ab~yguv.mkyr
2020-12-17T00:00:00.000,13.0,BARCELONES,8101.0,L'HOSPITALET DE LLOBREGAT,,No classificat,0.0,Home,PCR probable,3,row-dkk7_kvak.agcn
2020-09-03T00:00:00.000,40.0,VALLES OCCIDENTAL,8156.0,PALAU-SOLITÀ I PLEGAMANS,,No classificat,0.0,Home,Epidemiològic,1,row-b4ie~wify~4q8t
2020-09-04T00:00:00.000,13.0,BARCELONES,8245.0,SANTA COLOMA DE GRAMENET,,No classificat,0.0,Home,Positiu per ELISA,1,row-crf9~26hu-wv96
2020-05-01T00:00:00.000,36.0,TARRAGONES,43905.0,SALOU,,No classificat,1.0,Dona,Positiu per ELISA,1,row-gk95_sth4.exy3
2020-10-29T00:00:00.000,12.0,BAIX PENEDES,43037.0,CALAFELL,,No classificat,0.0,Home,Epidemiològic,1,row-a449.aqqk~78yj
2020-04-14T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,10.0,SANT MARTÍ,1.0,Dona,Positiu per ELISA,8,row-d5jc~uu6r_dwnr
2020-07-15T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,6.0,GRÀCIA,0.0,Home,PCR probable,1,row-hx8x.m6yk_nwm5
2020-10-28T00:00:00.000,16.0,CONCA DE BARBERA,43139.0,SANTA COLOMA DE QUERALT,,No classificat,1.0,Dona,PCR probable,1,row-qiwv_ehmd.ha4k
2020-09-08T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,9.0,SANT ANDREU,1.0,Dona,Positiu per Test Ràpid,1,row-k2pz_e2ea~8nvs
2020-05-06T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,2.0,EIXAMPLE,0.0,Home,Epidemiològic,3,row-hy2q_3ase.brw8
2021-03-09T00:00:00.000,21.0,MARESME,8121.0,MATARÓ,,No classificat,1.0,Dona,Positiu TAR,8,row-h77i~u44b~7gay
2021-01-29T00:00:00.000,11.0,BAIX LLOBREGAT,8200.0,SANT BOI DE LLOBREGAT,,No classificat,1.0,Dona,PCR probable,2,row-skrr~b2bi.h69t
2020-05-08T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,7.0,HORTA-GUINARDÓ,1.0,Dona,Positiu per ELISA,3,row-zhrc~7hdw-vbcz
2020-05-23T00:00:00.000,34.0,SELVA,17202.0,TOSSA DE MAR,,No classificat,1.0,Dona,Positiu per ELISA,1,row-nqb8~4x5i-pawu
2020-03-20T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,4.0,LES CORTS,0.0,Home,Positiu per ELISA,1,row-5khg_gzti~bqti
2021-03-26T00:00:00.000,27.0,PLA D'URGELL,25048.0,BELL-LLOC D'URGELL,,No classificat,1.0,Dona,Positiu TAR,1,row-pzrq_73ce.xjai
2020-07-21T00:00:00.000,40.0,VALLES OCCIDENTAL,8266.0,CERDANYOLA DEL VALLÈS,,No classificat,0.0,Home,PCR probable,1,row-3zew.s6b7~kwa2
